Voltage (V),PWM,Sample,Vibration (g),Timestamp
0.0,0,1,0.388000,2025-11-01 19:27:26.400
0.0,0,2,0.390000,2025-11-01 19:27:26.854
0.0,0,3,0.388000,2025-11-01 19:27:27.309
0.0,0,4,0.386000,2025-11-01 19:27:27.763
0.0,0,5,0.380000,2025-11-01 19:27:28.218
1.5,76,1,1.052000,2025-11-01 19:27:29.930
1.5,76,2,1.574000,2025-11-01 19:27:30.383
1.5,76,3,1.056000,2025-11-01 19:27:30.838
1.5,76,4,1.156000,2025-11-01 19:27:31.293
1.5,76,5,0.860000,2025-11-01 19:27:31.746
2.0,102,1,1.351000,2025-11-01 19:27:33.460
2.0,102,2,2.514000,2025-11-01 19:27:33.914
2.0,102,3,1.968000,2025-11-01 19:27:34.368
2.0,102,4,2.178000,2025-11-01 19:27:34.822
2.0,102,5,1.713000,2025-11-01 19:27:35.278
2.5,127,1,3.111000,2025-11-01 19:27:36.990
2.5,127,2,3.054000,2025-11-01 19:27:37.445
2.5,127,3,2.920000,2025-11-01 19:27:37.898
2.5,127,4,2.301000,2025-11-01 19:27:38.352
2.5,127,5,2.080000,2025-11-01 19:27:38.805
3.0,153,1,2.297000,2025-11-01 19:27:40.516
3.0,153,2,2.058000,2025-11-01 19:27:40.970
3.0,153,3,2.457000,2025-11-01 19:27:41.423
3.0,153,4,2.122000,2025-11-01 19:27:41.877
3.0,153,5,2.077000,2025-11-01 19:27:42.331
